,CZ,AF7,AF3,FP1,F1,F3,F5,F7,FT7,FC1,FC3,FC5,C1,C3,C5,T7,TP7,CP1,CP3,CP5,P1,P3,P5,P7,P9,PO3,PO7,O1,IZ,OZ,POZ,PZ,CPZ,FPZ,FP2,AF8,AF4,AFZ,FZ,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCZ,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
PZ,116.0172,328.7704,294.9237,341.463,235.7329,249.7719,276.6315,311.6023,287.2159,180.8867,205.8543,242.7694,128.7983,161.929,206.9034,257.1478,223.5755,81.3449,124.3262,173.0,47.0425,95.0053,142.2252,185.9731,237.0021,92.0054,152.532,125.1,173.0029,114.0,57.0,0.0,57.0,345.0,341.2565,327.8674,295.1694,288.0,229.0,235.9343,250.697,277.4923,311.6023,287.3273,243.4461,205.0098,179.9361,173.0,128.3511,161.929,207.7354,256.2538,223.3764,173.0,123.4342,81.3204,46.0435,94.0213,142.2252,186.9679,237.4574,153.0,90.6035,125.9246
CPZ,59.0339,278.3541,240.0521,285.9545,180.236,198.2448,229.4384,268.0392,253.8188,127.9101,160.5895,204.4016,82.0244,127.9062,181.5158,237.2003,219.3285,56.0357,111.0045,165.0757,75.4321,111.3059,156.1698,200.0025,255.8535,134.5288,186.0349,175.0457,230.0022,171.0,114.0,57.0,0.0,288.0,285.7079,277.4923,240.3539,231.0,172.0,180.4993,199.1231,230.2281,268.0392,254.1692,205.2048,159.8624,127.0118,116.0,81.3204,127.9062,182.4637,236.2308,219.3855,165.0757,110.0045,57.0088,74.8131,110.982,156.1698,200.9278,256.7197,186.7244,133.1465,175.9602
FPZ,229.0087,148.9463,93.086,71.8471,123.3086,148.3947,177.0028,208.8564,269.236,181.8378,203.3249,233.3495,237.2003,256.7022,287.2003,325.2691,371.431,291.431,309.5836,336.2648,350.1685,358.805,380.4905,408.3148,460.1793,407.5905,437.3568,453.5912,518.001,459.0,402.0,345.0,288.0,0.0,70.859,149.2716,93.8616,57.0,116.0,123.6932,147.6279,176.4001,208.8564,270.6326,234.0534,204.1666,182.7895,172.0,236.9578,256.7022,287.8003,324.5628,372.2392,336.2648,309.2265,292.6055,350.0357,359.5066,380.4905,408.7689,461.9102,438.3081,406.4283,454.5789
FP2,228.3594,214.2195,149.8933,141.0,155.8782,194.5096,231.8124,269.429,323.3466,205.2316,240.8319,280.6795,253.6632,286.0367,326.3817,371.431,408.7077,302.4913,331.7303,367.0817,355.7879,373.43,402.3779,435.4699,490.2754,415.3902,453.9273,459.1841,511.6737,453.4358,397.2166,341.2565,285.7079,70.859,0.0,80.5295,48.0937,83.7616,126.1943,105.3233,105.019,118.6002,143.2201,210.0119,181.7966,165.8945,163.6001,175.5591,219.3855,223.3764,242.0124,270.6326,326.0383,297.5718,280.863,276.306,336.8561,336.8561,349.4968,371.571,421.0012,411.1703,389.0051,438.0011
AF8,227.4225,282.0018,213.2346,215.3787,198.9196,244.7877,287.9028,330.2196,375.1826,232.7767,279.0788,326.6711,269.0019,312.7075,361.566,412.7978,438.8633,308.185,348.0,391.3719,352.3464,379.3481,415.3372,453.3222,510.0833,411.9466,459.2004,451.8241,489.4497,433.5678,380.1184,327.8674,277.4923,149.2716,80.5295,0.0,68.7314,141.2268,156.1089,113.4637,78.8162,57.0,64.3506,134.8481,119.4362,126.8464,151.1622,187.1096,199.542,183.0027,183.807,201.2585,263.7954,245.1775,241.9938,252.3886,312.7763,301.6836,304.0016,318.1981,362.3548,368.0489,357.7178,406.0788
AF4,184.2308,214.2825,145.0,151.7893,132.0038,176.7739,219.3171,261.49,307.3792,172.154,214.553,260.0346,215.4112,253.3969,298.7742,347.9224,378.6093,261.0939,294.5437,333.7664,312.0,332.5553,364.2266,399.4859,455.3427,371.8602,413.1743,414.7975,464.6127,406.6067,350.6822,295.1694,240.3539,93.8616,48.0937,68.7314,0.0,73.0274,92.6175,60.4152,58.3095,82.662,118.596,176.9633,141.1134,118.9033,116.2497,134.5288,171.7469,175.8465,198.0934,231.4671,282.6305,251.4359,232.9571,228.5607,289.2629,288.7646,301.9884,325.2599,375.8258,363.3291,341.0015,390.0051
AFZ,172.0116,141.2869,72.0278,84.5991,73.8783,110.7881,149.6028,189.842,240.2603,128.8099,158.4172,196.9188,182.4637,207.1835,243.9529,287.8003,327.1238,235.7477,257.1867,287.9601,293.7839,304.2137,328.2986,358.4327,411.8762,351.6603,383.544,397.394,461.0011,402.0,345.0,288.0,231.0,57.0,83.7616,141.2268,73.0274,0.0,59.0,74.5185,110.2769,149.2716,189.842,241.5885,197.7524,159.1383,129.7112,115.0,182.1483,207.1835,244.6589,287.0017,327.8674,287.9601,256.7567,236.9578,293.6256,304.8541,328.2986,358.9499,413.5336,384.4802,350.4754,398.378
FZ,113.0177,156.5407,91.8314,126.7517,47.0425,95.0211,141.2869,187.1817,222.009,79.9062,122.9837,171.4526,127.9062,161.2203,206.3492,256.7022,286.0367,178.986,205.548,241.9793,235.7329,248.8473,276.2843,309.401,364.5339,294.2006,328.9757,339.507,402.0012,343.0,286.0,229.0,172.0,116.0,126.1943,156.1089,92.6175,59.0,0.0,48.0416,95.0474,141.3542,187.1817,223.1815,172.4094,123.4342,80.6226,56.0,127.4559,161.2203,207.1835,255.8066,286.681,241.9793,205.0098,180.2498,235.5356,249.3933,276.2843,310.0,366.0833,329.8879,292.9846,340.4849
F2,123.8588,200.1924,132.0038,157.3849,95.0,143.0,189.1296,234.7701,269.6145,119.5701,167.9673,218.2842,157.1369,199.2486,248.7087,301.2308,325.3998,200.9975,236.4445,278.2265,251.6227,272.5307,305.3211,341.7441,398.1168,311.4643,353.119,354.5659,406.7247,348.3231,291.9726,235.9343,180.4993,123.6932,105.3233,113.4637,60.4152,74.5185,48.0416,0.0,47.0106,93.3435,139.3018,176.8219,128.0352,84.8999,60.531,75.2861,116.3486,133.4616,170.5315,214.9814,253.3969,213.8457,185.6583,173.2339,233.0086,237.4974,256.8209,285.5591,339.5364,315.2428,287.0052,335.7886
F4,148.6775,244.7877,175.5135,194.8333,142.0035,190.0026,236.0763,281.5759,316.2183,162.4838,213.0469,264.3672,192.6084,239.5204,291.5099,345.4186,365.4655,229.6301,270.9465,316.2278,273.7152,300.6476,337.2966,376.0332,433.0139,333.4187,380.4064,373.873,415.7656,358.805,304.2137,250.697,199.1231,147.6279,105.019,78.8162,58.3095,110.2769,95.0474,47.0106,0.0,46.5296,92.7631,132.2573,87.8009,60.8769,72.4017,111.8302,123.0163,118.5327,140.6165,177.8904,225.211,193.1321,176.638,178.1011,239.0753,234.0021,244.5588,266.9869,317.5925,306.6203,287.9201,336.8561
F6,185.6071,287.9028,218.1238,232.3123,188.1701,236.1356,282.0018,327.185,362.7465,208.0817,259.2798,310.8456,234.4717,283.5507,336.6675,391.1739,408.945,266.8501,311.437,358.6154,305.655,336.5947,375.6301,415.7403,472.9144,364.4462,415.0614,402.3779,435.1368,380.1184,327.8674,277.4923,230.2281,176.4001,118.6002,57.0,82.662,149.2716,141.3542,93.3435,46.5296,0.0,46.3249,94.3027,64.622,72.9178,108.8531,155.6824,149.7732,126.9055,128.0625,152.0526,210.0214,188.5338,185.6071,199.542,259.0483,245.5402,247.002,261.895,307.4671,311.0579,301.9884,350.07
F8,227.6225,330.3604,260.4995,270.3794,233.7734,281.6416,327.2201,372.0,408.8826,254.2597,305.601,357.1288,278.8566,328.9757,382.6082,437.3568,453.9273,308.2937,354.7464,402.995,343.2098,376.7784,417.3104,458.2598,515.459,400.8952,453.9626,436.644,461.686,408.7689,358.9499,311.6023,268.0392,208.8564,143.2201,64.3506,118.596,189.842,187.1817,139.3018,92.7631,46.3249,0.0,72.0069,74.0405,108.1896,152.1217,201.3082,186.7244,153.0,135.6245,141.6827,208.6265,199.1105,208.3555,231.3115,288.2776,268.2685,261.725,269.0,308.3018,326.0138,325.6087,372.211
FT8,228.011,376.724,307.7028,325.5826,269.7795,317.2081,363.7362,410.0256,437.0011,275.3561,329.2188,383.064,285.9545,340.4849,397.394,454.5789,460.1358,302.9092,354.683,406.7087,325.7299,365.4655,409.8256,453.0353,509.5302,379.2466,437.4529,409.4154,420.006,371.431,327.1238,287.3273,254.1692,270.6326,210.0119,134.8481,176.9633,241.5885,223.1815,176.8219,132.2573,94.3027,72.0069,0.0,54.4518,109.7725,163.6887,219.3855,176.8757,126.7517,84.5991,71.7008,142.0,144.4715,169.6496,206.4655,255.4858,225.7632,208.7223,207.6391,241.2986,271.3301,282.2942,325.5826
FC6,174.7513,327.9634,260.0346,282.3491,218.2842,265.149,311.636,358.1089,383.0835,221.1108,275.0455,329.0,232.0022,286.2464,343.0233,400.1512,406.7087,251.4776,302.1672,353.5944,278.7562,316.2278,359.4691,402.1244,458.9553,334.4682,390.5125,367.7227,388.3298,336.2648,287.9601,243.4461,205.2048,234.0534,181.7966,119.4362,141.1134,197.7524,172.4094,128.0352,87.8009,64.622,74.0405,54.4518,0.0,55.3263,109.2932,165.1091,125.5388,81.8352,64.4981,90.5097,145.3994,127.0,134.7368,162.1882,216.6149,194.4274,188.4091,199.1105,243.1296,252.7865,251.8035,298.203
FC4,122.1188,279.9589,214.2265,242.2437,167.3708,213.0469,259.2798,305.8513,328.2986,166.003,220.0023,274.0657,177.7301,231.3871,287.9028,344.9116,353.0227,201.3753,250.06,300.443,235.1042,268.8885,310.266,351.9787,409.0929,293.1382,345.7759,330.0561,362.763,307.3581,254.951,205.0098,159.8624,204.1666,165.8945,126.8464,118.9033,159.1383,123.4342,84.8999,60.8769,72.9178,108.1896,109.7725,55.3263,0.0,54.037,110.0,78.5684,58.1378,85.6329,132.382,168.8846,132.9135,117.0,126.6254,186.3357,175.7299,183.807,206.4946,258.1182,246.2722,231.145,279.732
FC2,77.0779,233.8482,172.0727,206.6349,119.2015,162.4838,208.0817,254.5683,274.4668,112.0045,166.0271,220.1454,127.0118,178.986,234.7765,291.431,302.4913,158.3919,202.7659,251.002,201.3405,228.8777,266.9176,306.8892,364.0673,261.0939,308.2937,302.0017,348.3691,290.4497,234.7765,179.9361,127.0118,182.7895,163.6001,151.1622,116.2497,129.7112,80.6226,60.531,72.4017,108.8531,152.1217,163.6887,109.2932,54.037,0.0,56.0357,56.0089,80.6226,129.7112,181.8378,206.6349,161.3753,127.0472,113.0044,173.2888,177.1243,198.5875,230.2173,285.8339,255.5191,226.5657,275.4088
FCZ,57.0351,187.7685,133.9888,175.9602,74.6525,111.3059,155.2611,201.3082,218.4491,56.0089,110.0045,164.1097,82.0244,127.9062,181.5158,237.2003,253.6632,127.0118,161.2762,204.6118,181.2015,198.2448,230.0543,266.6252,323.1671,240.3539,278.8566,284.986,346.0014,287.0,230.0,173.0,116.0,172.0,175.5591,187.1096,134.5288,115.0,56.0,75.2861,111.8302,155.6824,201.3082,219.3855,165.1091,110.0,56.0357,0.0,81.3204,127.9062,182.4637,236.2308,254.1692,204.6118,160.5895,128.3511,180.9447,198.6479,230.0543,267.32,324.5689,279.732,239.0983,285.9545
C2,55.0091,268.9387,214.2008,253.6632,155.7947,191.2067,233.0944,277.982,284.2692,126.5622,177.1158,230.0804,115.0,171.0,229.0,287.0,284.7385,126.115,178.059,230.7661,156.5407,191.2067,233.9444,276.6225,333.4187,214.8046,267.32,252.8003,293.3939,235.9873,181.1988,128.3511,81.3204,236.9578,219.3855,199.542,171.7469,182.1483,127.4559,116.3486,123.0163,149.7732,186.7244,176.8757,125.5388,78.5684,56.0089,81.3204,0.0,57.0,116.0,172.0,176.8757,125.032,79.3095,57.0,117.516,122.711,149.5125,186.0027,243.2612,202.6154,170.6605,219.447
C4,112.0045,313.2874,252.6599,286.681,198.4364,239.0335,283.1148,328.9757,339.7175,179.3014,231.6398,285.2718,172.0,228.0,286.0,344.0,340.2778,178.986,232.607,286.0245,199.0226,239.0335,284.0158,327.6538,383.7304,253.3969,310.8006,285.9178,309.3752,255.8066,206.3492,161.929,127.9062,256.7022,223.3764,183.0027,175.8465,207.1835,161.2203,133.4616,118.5327,126.9055,153.0,126.7517,81.8352,58.1378,80.6226,127.9062,57.0,0.0,59.0,115.0,126.7517,81.0555,59.1354,80.6102,135.3255,118.6971,126.1467,152.1184,206.371,188.1755,175.1114,223.1815
C6,171.0029,362.9325,298.7742,327.8674,248.7087,292.0274,337.2314,383.544,397.5739,235.9873,289.0848,343.0233,231.0,287.0,345.0,403.0,398.201,235.7477,290.0638,343.8212,249.1766,292.0274,338.1627,382.2565,437.5386,299.5947,359.8055,327.2002,335.4519,287.0017,243.9529,207.7354,182.4637,287.8003,242.0124,183.807,198.0934,244.6589,207.1835,170.5315,140.6165,128.0625,135.6245,84.5991,64.4981,85.6329,129.7112,182.4637,116.0,59.0,0.0,56.0,84.5991,63.5059,86.3134,129.2478,172.6789,141.1737,126.8464,134.6291,179.6218,190.8219,197.7397,241.5885
T8,227.0022,412.3397,346.182,371.431,299.386,344.1395,389.909,436.4058,452.7615,290.6441,344.0959,398.1771,287.0,343.0,401.0,459.0,453.4358,290.4497,345.0811,399.005,299.7749,344.1395,390.858,435.146,489.7183,347.0519,408.7689,370.8423,367.3255,323.8549,286.4001,256.2538,236.2308,324.5628,270.6326,201.2585,231.4671,287.0017,255.8066,214.9814,177.8904,152.0526,141.6827,71.7008,90.5097,132.382,181.8378,236.2308,172.0,115.0,56.0,0.0,71.7008,89.8053,132.8232,181.1988,217.205,178.6449,150.6586,140.7302,170.0118,209.2964,231.4066,270.0463
TP8,228.6329,440.0102,378.4772,410.1219,325.1538,365.4655,408.945,454.3798,459.8021,303.3299,353.7527,406.096,285.9545,340.4849,397.394,454.5789,438.0011,275.4088,330.2181,384.0833,269.9481,317.2081,364.7259,408.8826,460.3357,308.6487,372.211,325.1292,307.5923,270.0463,241.168,223.3764,219.3855,372.2392,326.0383,263.7954,282.6305,327.8674,286.681,253.3969,225.211,210.0214,208.6265,142.0,145.3994,168.8846,206.6349,254.1692,176.8757,126.7517,84.5991,71.7008,0.0,54.5894,109.6586,162.6038,179.0112,133.1953,92.9139,71.1196,99.7246,143.2201,177.2287,209.3036
CP6,175.1142,391.9962,333.054,367.7227,277.4617,315.6596,358.095,402.995,406.096,251.4776,300.8471,352.6613,231.7283,286.0245,342.8382,399.9925,384.0638,221.1108,276.029,330.0,218.7693,265.3469,312.8082,357.1288,409.684,261.358,324.236,282.3491,278.4259,234.0534,197.7524,173.0,165.0757,336.2648,297.5718,245.1775,251.4359,287.9601,241.9793,213.8457,193.1321,188.5338,199.1105,144.4715,127.0,132.9135,161.3753,204.6118,125.032,81.0555,63.5059,89.8053,54.5894,0.0,55.1453,108.1665,130.679,89.202,64.2573,74.0405,125.7179,127.5774,141.7674,182.1318
CP4,123.5476,347.9684,293.2985,331.7303,235.1042,269.5366,310.0403,353.9096,353.1926,202.5142,249.6478,300.3415,178.059,231.6398,288.1059,345.0811,329.1838,166.0271,221.0,275.0291,167.3708,212.7769,260.0,304.3846,357.9972,214.553,275.9601,240.9191,253.6178,202.4846,157.6991,123.4342,110.0045,309.2265,280.863,241.9938,232.9571,256.7567,205.0098,185.6583,176.638,185.6071,208.3555,169.6496,134.7368,117.0,127.0472,160.5895,79.3095,59.1354,86.3134,132.8232,109.6586,55.1453,0.0,53.0377,86.3713,60.1664,71.5542,106.7755,164.2011,130.4186,117.3243,164.6845
CP2,79.9312,310.3627,261.9637,304.2367,201.8539,230.2889,267.5892,309.6982,303.7532,160.5148,203.3347,251.9563,128.3511,180.2498,235.9873,292.6055,276.306,113.0044,168.0119,222.0811,120.0666,163.0491,209.6592,253.9547,308.6503,172.9046,231.3115,205.6818,237.691,181.1988,128.3511,81.3204,57.0088,292.6055,276.306,252.3886,228.5607,236.9578,180.2498,173.2339,178.1011,199.542,231.3115,206.4655,162.1882,126.6254,113.0044,128.3511,57.0,80.6102,129.2478,181.1988,162.6038,108.1665,53.0377,0.0,61.0,70.4911,107.6151,150.2332,207.4729,151.6047,113.9912,162.6038
P2,125.9365,352.6613,311.2362,355.7879,250.8745,272.3417,304.2515,342.5318,324.6798,201.6928,235.185,277.2382,156.5407,198.2145,247.4126,299.7749,269.1357,118.8486,167.3708,217.8004,93.0,141.0035,188.0957,231.6247,281.6558,130.679,193.706,154.5639,176.8219,121.0785,71.7008,46.0435,74.8131,350.0357,336.8561,312.7763,289.2629,293.6256,235.5356,233.0086,239.0753,259.0483,288.2776,255.4858,216.6149,186.3357,173.2888,180.9447,117.516,135.3255,172.6789,217.205,179.0112,130.679,86.3713,61.0,0.0,48.0,96.1873,141.0284,192.4422,113.2299,59.0339,105.019
P4,149.6262,380.2973,332.4154,374.3274,272.3417,300.0167,335.8943,376.7015,364.7808,229.7303,269.429,315.1587,191.815,238.6483,290.5942,344.4779,316.5091,161.929,213.0469,264.5695,141.0,189.0026,236.0763,279.5174,328.9772,175.5135,239.1694,193.458,194.6535,146.219,108.9082,94.0213,110.982,359.5066,336.8561,301.6836,288.7646,304.8541,249.3933,237.4974,234.0021,245.5402,268.2685,225.7632,194.4274,175.7299,177.1243,198.6479,122.711,118.6971,141.1737,178.6449,133.1953,89.202,60.1664,70.4911,48.0,0.0,48.3735,93.5575,146.8945,81.1234,57.3847,104.561
P6,187.0187,416.0697,363.6372,402.9057,304.6999,336.5858,374.9733,417.3104,409.4203,267.5892,310.8504,358.6154,234.7957,284.0158,337.2314,391.8074,364.8698,209.0287,260.9693,312.8082,189.0952,237.1034,284.0,327.185,375.7047,220.293,284.0739,233.2252,217.0392,177.2005,150.2165,142.2252,156.1698,380.4905,349.4968,304.0016,301.9884,328.2986,276.2843,256.8209,244.5588,247.002,261.725,208.7223,188.4091,183.807,198.5875,230.0543,149.5125,126.1467,126.8464,150.6586,92.9139,64.2573,71.5542,107.6151,96.1873,48.3735,0.0,45.3542,100.6479,64.3817,84.3149,119.4027
P8,228.2126,454.7362,399.4859,436.644,341.7441,376.113,415.9062,459.0697,453.4887,308.2937,353.3624,402.1244,278.3738,328.5666,382.2565,437.0492,410.0256,254.2597,306.3234,358.1089,233.6193,281.5759,328.1844,371.0,418.3838,261.6295,325.1846,270.3794,240.7094,208.8564,189.842,186.9679,200.9278,408.7689,371.571,318.1981,325.2599,358.9499,310.0,285.5591,266.9869,261.895,269.0,207.6391,199.1105,206.4946,230.2173,267.32,186.0027,152.1184,134.6291,140.7302,71.1196,74.0405,106.7755,150.2332,141.0284,93.5575,45.3542,0.0,57.6281,73.5527,119.5492,143.0035
P10,285.8006,512.1406,456.1688,492.4683,398.8483,433.6727,473.5325,516.6372,510.0637,365.9208,410.7578,459.1089,335.2924,384.6102,437.3888,491.3461,460.9772,308.8122,359.5622,410.2012,283.0071,330.4421,375.9495,417.5548,462.0043,304.0016,366.3496,305.7908,258.5034,238.4156,231.0087,237.4574,256.7197,461.9102,421.0012,362.3548,375.8258,413.5336,366.0833,339.5364,317.5925,307.4671,308.3018,241.2986,243.1296,258.1182,285.8339,324.5689,243.2612,206.371,179.6218,170.0118,99.7246,125.7179,164.2011,207.4729,192.4422,146.8945,100.6479,57.6281,0.0,97.4936,159.0,167.335
PO8,230.2889,460.8004,413.5372,455.2713,353.4586,380.4064,415.0614,454.6702,437.8242,309.8661,347.1901,390.387,268.7341,311.4001,359.4691,410.1146,372.8337,231.6074,277.3085,324.6167,194.9974,240.7094,284.2974,324.3594,366.4928,208.6145,270.0019,208.3195,167.8005,141.3825,135.8308,153.0,186.7244,438.3081,411.1703,368.0489,363.3291,384.4802,329.8879,315.2428,306.6203,311.0579,326.0138,271.3301,252.7865,246.2722,255.5191,279.732,202.6154,188.1755,190.8219,209.2964,143.2201,127.5774,130.4186,151.6047,113.2299,81.1234,64.3817,73.5527,97.4936,0.0,65.2534,71.5542
PO4,184.7728,411.428,370.1581,414.4514,309.7693,331.1873,362.2403,399.4859,377.7089,260.6012,292.515,332.3432,214.0093,251.9841,297.3819,346.5602,307.7028,171.406,214.0327,260.0346,130.269,175.5135,219.1004,259.5092,303.0066,145.0034,207.6174,150.841,137.7135,93.086,72.0278,90.6035,133.1465,406.4283,389.0051,357.7178,341.0015,350.4754,292.9846,287.0052,287.9201,301.9884,325.6087,282.2942,251.8035,231.145,226.5657,239.0983,170.6605,175.1114,197.7397,231.4066,177.2287,141.7674,117.3243,113.9912,59.0339,57.3847,84.3149,119.5492,159.0,65.2534,0.0,49.0102
O2,230.5667,453.5912,415.3902,460.4433,355.1746,373.873,402.3779,437.4529,410.1244,303.8174,331.7303,367.8505,254.1692,286.681,327.1238,372.2392,326.0383,206.6349,242.3304,282.8993,155.9744,195.3586,233.6343,269.7425,306.276,151.7893,208.6265,142.0035,98.2904,71.7008,85.1469,125.9246,175.9602,454.5789,438.0011,406.0788,390.0051,398.378,340.4849,335.7886,336.8561,350.07,372.211,325.5826,298.203,279.732,275.4088,285.9545,219.447,223.1815,241.5885,270.0463,209.3036,182.1318,164.6845,162.6038,105.019,104.561,119.4027,143.0035,167.335,71.5542,49.0102,0.0
